p_delta,i_delta,ise,mssd_2s,mssd_full,n_observations
0.06,-0.04,1723125.0,68611.11111111111,18529.41176470588,1
0.06,-0.02,1763750.0,53958.333333333336,14632.35294117647,1
0.06,0.0,3306875.0,325416.6666666667,87224.26470588235,1
0.06,0.02,1328125.0,61458.333333333336,18161.764705882353,1
0.06,0.04,1301875.0,59375.0,17371.323529411766,1
0.06,0.06,1446875.0,52083.333333333336,15275.735294117647,1
0.06,0.08,1315000.0,57291.666666666664,15735.29411764706,1
0.08,-0.08,1496875.0,61458.333333333336,17408.08823529412,1
0.08,-0.06,1507500.0,61666.666666666664,16875.0,1
0.08,-0.04,1381875.0,80625.0,22205.882352941175,1
0.08,-0.02,1331250.0,62500.0,17518.382352941175,1
0.08,0.0,1515000.0,82013.88888888889,22297.79411764706,1
0.08,0.02,1465625.0,52500.0,15606.617647058823,1
0.08,0.04,1508750.0,55763.88888888889,16985.29411764706,1
0.08,0.06,1230000.0,89722.22222222222,24301.470588235294,1
0.08,0.08,1412500.0,60208.333333333336,17518.382352941175,1
0.1,-0.08,1423750.0,68541.66666666667,18823.529411764706,1
0.1,-0.06,1365625.0,65763.88888888889,17886.029411764706,1
0.1,-0.04,1541875.0,53611.11111111111,15900.735294117647,1
0.1,-0.02,1732500.0,100347.22222222222,27794.117647058825,1
0.1,0.0,1600625.0,68819.44444444444,19889.70588235294,1
0.1,0.02,1455625.0,60000.0,17040.441176470587,1
0.1,0.04,1369375.0,76944.44444444444,21580.882352941175,1
0.1,0.06,1290625.0,169861.11111111112,45441.17647058824,1
0.1,0.08,1256875.0,158888.88888888888,42794.117647058825,1
